country,year,age_group,pay_gap,flag
Norway,2017,Less than 25 years,1.8,
Norway,2018,Less than 25 years,1.1,
Norway,2019,Less than 25 years,0.9,d
Norway,2020,Less than 25 years,0.8,d
Norway,2021,Less than 25 years,1.1,d
Norway,2022,Less than 25 years,2.4,d
Norway,2023,Less than 25 years,1.2,dp
Norway,2024,Less than 25 years,1.7,dp
Poland,2015,Less than 25 years,8.0,
Poland,2016,Less than 25 years,7.3,
Poland,2017,Less than 25 years,7.1,
Poland,2018,Less than 25 years,9.8,
Poland,2019,Less than 25 years,9.0,
Poland,2020,Less than 25 years,8.2,
Poland,2021,Less than 25 years,7.2,
Poland,2022,Less than 25 years,6.1,
Poland,2023,Less than 25 years,5.1,
Poland,2024,Less than 25 years,4.0,
Portugal,2015,Less than 25 years,6.8,
Portugal,2016,Less than 25 years,3.4,
Portugal,2017,Less than 25 years,5.0,
Portugal,2018,Less than 25 years,3.1,
Portugal,2019,Less than 25 years,5.4,
Portugal,2020,Less than 25 years,6.6,
Portugal,2021,Less than 25 years,5.8,
Portugal,2022,Less than 25 years,4.2,
Portugal,2023,Less than 25 years,8.2,p
Portugal,2024,Less than 25 years,8.1,p
Romania,2015,Less than 25 years,0.6,e
Romania,2016,Less than 25 years,2.2,e
Romania,2017,Less than 25 years,3.9,e
Romania,2018,Less than 25 years,5.6,
Romania,2019,Less than 25 years,4.7,
Romania,2020,Less than 25 years,4.1,
Romania,2021,Less than 25 years,3.4,
Romania,2022,Less than 25 years,2.7,
Romania,2023,Less than 25 years,2.7,e
Romania,2024,Less than 25 years,2.7,e
Serbia,2018,Less than 25 years,5.4,
Slovakia,2015,Less than 25 years,12.3,
Slovakia,2016,Less than 25 years,11.1,
Slovakia,2017,Less than 25 years,12.8,
Slovakia,2018,Less than 25 years,12.3,
Slovakia,2019,Less than 25 years,10.2,
Slovakia,2020,Less than 25 years,6.7,
Slovakia,2021,Less than 25 years,6.4,
Slovakia,2022,Less than 25 years,7.5,
Slovakia,2023,Less than 25 years,7.7,p
Slovakia,2024,Less than 25 years,8.7,p
Slovenia,2015,Less than 25 years,8.2,
Slovenia,2016,Less than 25 years,7.7,
Slovenia,2017,Less than 25 years,7.4,
Slovenia,2018,Less than 25 years,9.8,
Slovenia,2019,Less than 25 years,8.7,
Slovenia,2020,Less than 25 years,2.9,
Slovenia,2021,Less than 25 years,3.7,
Slovenia,2022,Less than 25 years,8.3,
Slovenia,2023,Less than 25 years,6.7,bp
Slovenia,2024,Less than 25 years,9.3,p
Spain,2015,Less than 25 years,9.2,
Spain,2016,Less than 25 years,4.7,
Spain,2017,Less than 25 years,4.1,
Spain,2018,Less than 25 years,1.7,
Spain,2019,Less than 25 years,-2.4,
Spain,2020,Less than 25 years,-2.5,
Spain,2021,Less than 25 years,-1.9,
Spain,2022,Less than 25 years,0.4,
Spain,2023,Less than 25 years,1.1,p
Spain,2024,Less than 25 years,1.1,p
Sweden,2015,Less than 25 years,6.2,
Sweden,2016,Less than 25 years,4.8,
Sweden,2017,Less than 25 years,5.6,
Sweden,2018,Less than 25 years,6.0,
Sweden,2019,Less than 25 years,5.3,
Sweden,2020,Less than 25 years,6.1,
Sweden,2021,Less than 25 years,5.9,
Sweden,2022,Less than 25 years,6.1,
Sweden,2023,Less than 25 years,5.4,p
Sweden,2024,Less than 25 years,5.8,p
Switzerland,2015,Less than 25 years,4.3,
